Transaction ID,Date Initiated,Date Posted,Transaction Type,Payment Method,Recipient ID,Amount,HIT ID,Assignment ID
3W5ZAGI8J1V1VAKGM7T46LAHTCO8L3,2015-03-14 12:18:36 -0700,2015-03-14 12:18:36 -0700,Prepayment,Visa (last 4 digits: 4790),A2LD8A4LBTYELX,200.000,,
3FRWC3RKU8EOMD4YGRRU1HNY9F4APD,2015-03-17 09:30:03 -0700,2015-03-17 14:44:30 -0700,AssignmentPayment,,A1OXO6ZJI14IWZ,-0.750,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3XXU1SWE8MVRIPQEV3KVWRVC8H90AS
3AWS20O7REYFQR6M7F0FULZ3A706AB,2015-03-17 09:30:03 -0700,2015-03-17 11:48:56 -0700,FeePayment,,Mechanical Turk,-0.075,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3XXU1SWE8MVRIPQEV3KVWRVC8H90AS
3MKPGTO6FLAA3PBJJT7G5QH3JR4P8O,2015-03-17 09:30:18 -0700,2015-03-17 14:24:06 -0700,AssignmentPayment,,A2GZN7DE7UKJRU,-0.750,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,33M4IA01QG1REWI60QVO0V7XISHRXL
3RUB4L15GEOR42QKFJLXZ9UDZR5KTF,2015-03-17 09:30:18 -0700,2015-03-17 11:48:56 -0700,FeePayment,,Mechanical Turk,-0.075,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,33M4IA01QG1REWI60QVO0V7XISHRXL
3Y0ZPAJGOKY4UH1L4ZHBKDY47DDFRV,2015-03-17 12:37:02 -0700,2015-03-17 19:38:22 -0700,AssignmentPayment,,A3OXZL8VVD0UUH,-0.750,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3X1FV8S5JXR8LH4XK00UD6W508ZGVC
3VURTDY1HTE9PIKFNKDEBWBJOC4BCD,2015-03-17 12:37:02 -0700,2015-03-17 20:51:38 -0700,FeePayment,,Mechanical Turk,-0.075,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3X1FV8S5JXR8LH4XK00UD6W508ZGVC
3PEF0NMI8CVYVSP0OZYNK0EE45AALM,2015-03-17 12:37:03 -0700,2015-03-17 20:16:13 -0700,AssignmentPayment,,A21XD6CWE1JNMQ,-0.750,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3TMSXRD2X60OWREZSRKNSLBD5SI1W7
3W1SZJPJ9DFE3PUJH2J3EGXHEPH66U,2015-03-17 12:37:03 -0700,2015-03-17 20:51:38 -0700,FeePayment,,Mechanical Turk,-0.075,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3TMSXRD2X60OWREZSRKNSLBD5SI1W7
3TSEWOT1N35DAVKN8NI2VVLVIHDUX5,2015-03-17 12:37:03 -0700,2015-03-17 21:01:03 -0700,AssignmentPayment,,A13BM5CJGCYU3S,-0.750,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3QIYRE09Y3HY9X5L0QT0W2YMCGF1NH
33KLL5W1BXVN6R84YC6QHO4DNHPQI6,2015-03-17 12:37:03 -0700,2015-03-17 20:51:38 -0700,FeePayment,,Mechanical Turk,-0.075,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3QIYRE09Y3HY9X5L0QT0W2YMCGF1NH
32MJ60TY2RSXVISJJIN2GU37XKSXSS,2015-03-17 12:37:03 -0700,2015-03-17 17:06:54 -0700,AssignmentPayment,,A34YD9P7KI4RF,-0.750,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3W8CV64QJ2ZOO6M515DG6OJ9OGTH9W
