,ChoseViolation,Item,NumberIterations,Permutation,ReactionTime,Segment,Subject,TestedOn,TrainedOn,TrialNumber,Violates,ViolationPosition
1137,1,346,1,0,2673,d,A122BNYC9TI3GT,*DF,Devoicing,89,Voicing,0
1139,1,403,1,0,2614,b,A122BNYC9TI3GT,*DF,Devoicing,91,Voicing,1
1141,1,358,1,0,2006,d,A122BNYC9TI3GT,*DF,Devoicing,93,Voicing,1
1142,1,418,1,0,2695,n,A122BNYC9TI3GT,*NF,Devoicing,94,Place,0
1144,1,439,1,0,1804,ng,A122BNYC9TI3GT,*NF,Devoicing,96,Place,1
1145,1,367,1,0,3365,d,A122BNYC9TI3GT,*DF,Devoicing,97,Voicing,0
1146,1,442,1,0,2179,n,A122BNYC9TI3GT,*NF,Devoicing,98,Place,0
1147,1,394,1,0,2862,b,A122BNYC9TI3GT,*DF,Devoicing,99,Voicing,0
1148,1,460,1,0,2055,n,A122BNYC9TI3GT,*NF,Devoicing,100,Place,0
1149,1,349,1,0,1827,d,A122BNYC9TI3GT,*DF,Devoicing,101,Voicing,0
1150,1,451,1,0,2003,ng,A122BNYC9TI3GT,*NF,Devoicing,102,Place,0
1151,1,355,1,0,2640,d,A122BNYC9TI3GT,*DF,Devoicing,103,Voicing,1
1152,1,433,1,0,1757,ng,A122BNYC9TI3GT,*NF,Devoicing,104,Place,0
1154,1,463,1,0,1588,ng,A122BNYC9TI3GT,*NF,Devoicing,106,Place,0
1155,0,397,1,0,1974,b,A122BNYC9TI3GT,*DF,Devoicing,107,Voicing,1
1156,0,454,1,0,1917,n,A122BNYC9TI3GT,*NF,Devoicing,108,Place,1
1158,1,424,1,0,3941,n,A122BNYC9TI3GT,*NF,Devoicing,110,Place,1
1159,1,361,1,0,1810,d,A122BNYC9TI3GT,*DF,Devoicing,111,Voicing,1
1160,1,457,1,0,1963,ng,A122BNYC9TI3GT,*NF,Devoicing,112,Place,1
1161,1,385,1,0,6097,b,A122BNYC9TI3GT,*DF,Devoicing,113,Voicing,0
1162,1,409,1,0,1830,ng,A122BNYC9TI3GT,*NF,Devoicing,114,Place,0
1164,1,415,1,0,2436,ng,A122BNYC9TI3GT,*NF,Devoicing,116,Place,0
1165,1,382,1,0,3112,b,A122BNYC9TI3GT,*DF,Devoicing,117,Voicing,1
1166,0,412,1,0,1735,n,A122BNYC9TI3GT,*NF,Devoicing,118,Place,0
1168,1,436,1,0,2849,n,A122BNYC9TI3GT,*NF,Devoicing,120,Place,0
1169,1,373,1,0,1927,d,A122BNYC9TI3GT,*DF,Devoicing,121,Voicing,1
1171,0,370,1,0,1658,d,A122BNYC9TI3GT,*DF,Devoicing,123,Voicing,1
1172,1,445,1,0,2660,ng,A122BNYC9TI3GT,*NF,Devoicing,124,Place,1
1173,1,364,1,0,1860,d,A122BNYC9TI3GT,*DF,Devoicing,125,Voicing,0
1175,1,391,1,0,2268,b,A122BNYC9TI3GT,*DF,Devoicing,127,Voicing,0
1176,1,427,1,0,1856,ng,A122BNYC9TI3GT,*NF,Devoicing,128,Place,1
1177,1,379,1,0,2473,b,A122BNYC9TI3GT,*DF,Devoicing,129,Voicing,1
1178,1,406,1,0,1481,n,A122BNYC9TI3GT,*NF,Devoicing,130,Place,1
1179,1,400,1,0,3560,b,A122BNYC9TI3GT,*DF,Devoicing,131,Voicing,0
1180,1,448,1,0,1732,n,A122BNYC9TI3GT,*NF,Devoicing,132,Place,0
1181,1,352,1,0,1820,d,A122BNYC9TI3GT,*DF,Devoicing,133,Voicing,0
1183,1,376,1,0,2828,b,A122BNYC9TI3GT,*DF,Devoicing,135,Voicing,1
1184,1,421,1,0,1478,ng,A122BNYC9TI3GT,*NF,Devoicing,136,Place,0
1185,0,388,1,0,3080,b,A122BNYC9TI3GT,*DF,Devoicing,137,Voicing,1
1186,1,430,1,0,2249,n,A122BNYC9TI3GT,*NF,Devoicing,138,Place,0
