,PageID,SelectedText,WorkerID
533,573,[u'female'],A102V40REYFUHV
534,577,[u'English'],A102V40REYFUHV
535,575,[u'English'],A102V40REYFUHV
537,579,[u'sound matching to memory'],A102V40REYFUHV
538,581,[u'sound matching to memory'],A102V40REYFUHV
660,575,[u'English'],A10PDD2KU7GRST
661,581,[u'i just guessed'],A10PDD2KU7GRST
662,577,[u'English'],A10PDD2KU7GRST
663,579,[u'wild guesses'],A10PDD2KU7GRST
665,573,[u'male'],A10PDD2KU7GRST
787,575,[u'English'],A10TU9I6GUEENN
789,577,[u'English'],A10TU9I6GUEENN
790,573,[u'female'],A10TU9I6GUEENN
791,581,[u'I looked for patterns when typing and figured out the rules of making the regular into a plural and applied that to the middle of the expirament'],A10TU9I6GUEENN
792,579,"[u""There seemed to be a lot of 'd' 'b' and 'ng' combinations that I tried to see which word just seemed to fit that mold""]",A10TU9I6GUEENN
914,575,[u'English'],A115A6OQBJFVVS
915,581,[u'I did not really have a strategy. I just gave it my best shot.'],A115A6OQBJFVVS
916,577,[u'English'],A115A6OQBJFVVS
917,573,[u'female'],A115A6OQBJFVVS
919,579,"[u'Whatever information I thought I got from the practice, and instructions. I gave it my best shot. I went with my first gut feeling with each word.']",A115A6OQBJFVVS
1042,575,[u'English'],A11HK2XJZAXPPX
1043,579,[u'Tried to remember what consonents typically appeared before nouns'],A11HK2XJZAXPPX
1044,577,[u'English'],A11HK2XJZAXPPX
1045,581,"[u'Tried to remember the use of ""m"" and ""n"" for example']",A11HK2XJZAXPPX
1046,573,[u'male'],A11HK2XJZAXPPX
1460,575,[u'English'],A12BTFPKFKKD2I
1462,581,[u'I recalled the patterns'],A12BTFPKFKKD2I
1463,573,[u'female'],A12BTFPKFKKD2I
1464,579,[u'I thought about the non-plural patterns'],A12BTFPKFKKD2I
1465,577,[u'English'],A12BTFPKFKKD2I
1587,573,[u'female'],A12E4GO4I2V4ZP
1588,581,[u'sounding out words'],A12E4GO4I2V4ZP
1589,579,[u'if it sounded familiar to other words '],A12E4GO4I2V4ZP
1590,577,[u'english'],A12E4GO4I2V4ZP
1592,575,[u'english'],A12E4GO4I2V4ZP
2555,577,[u'English'],A138CW0E10XK58
2557,575,[u'English'],A138CW0E10XK58
2558,579,[u'memory sort of'],A138CW0E10XK58
2559,573,[u'female'],A138CW0E10XK58
2560,581,[u'tried to remember'],A138CW0E10XK58
3470,577,[u'English'],A15WHHFIYMQ1LS
3471,581,[u'some letter change into other letters for plural. For eg. d to t.'],A15WHHFIYMQ1LS
3472,573,[u'female'],A15WHHFIYMQ1LS
3473,575,[u'Marathi and English'],A15WHHFIYMQ1LS
3474,579,[u'rmemebering what the earlier words looked (more visual and sound)'],A15WHHFIYMQ1LS
3597,577,[u'english'],A167SYXGXFU7C8
3598,575,[u'english'],A167SYXGXFU7C8
3600,581,[u'what letters in word were changed when pleural(ng-m)'],A167SYXGXFU7C8
3601,573,[u'female'],A167SYXGXFU7C8
3602,579,"[u'same strategy as previous, and if it sounded right']",A167SYXGXFU7C8
3870,573,[u'female'],A16TB6KOY5OX79
3871,577,[u'English'],A16TB6KOY5OX79
3872,581,[u'Tried to go by sound'],A16TB6KOY5OX79
3873,579,[u'same use of sound'],A16TB6KOY5OX79
3875,575,[u'English'],A16TB6KOY5OX79
4194,573,[u'female'],A17IWKV4G3N25X
4195,575,[u'English'],A17IWKV4G3N25X
4196,581,[u'use memory of how the letters were used'],A17IWKV4G3N25X
4197,577,[u'English'],A17IWKV4G3N25X
4198,579,[u'memory of prior instructions'],A17IWKV4G3N25X
4320,579,[u'i remembered certain letters thatw ere in the endings of the words from before'],A17KJJEFSH5S25
4322,573,[u'female'],A17KJJEFSH5S25
4323,577,[u'english'],A17KJJEFSH5S25
4324,575,[u'english'],A17KJJEFSH5S25
4325,581,[u'what looked familiar and sounded right'],A17KJJEFSH5S25
4447,577,[u'English'],A17KZPGCY7PACK
4449,573,[u'female'],A17KZPGCY7PACK
4450,575,[u'English'],A17KZPGCY7PACK
4451,581,[u'added fa'],A17KZPGCY7PACK
4452,579,[u'intuition'],A17KZPGCY7PACK
4575,577,[u'english'],A17MDKYW97KPKF
4576,581,"[u'i thought that the plural should change the ending consonant sound, so most cases I checked the words, e,.g. where the singualr had b, but was p in the plural']",A17MDKYW97KPKF
4577,575,[u'english'],A17MDKYW97KPKF
4578,573,[u'female'],A17MDKYW97KPKF
4579,579,"[u'more random, but tried to stay true to the change of consonant theory']",A17MDKYW97KPKF
4847,575,[u'English'],A18THU3JHA6D6S
4849,577,[u'English'],A18THU3JHA6D6S
4850,579,"[u'I tried to remember which letters or combinations were used more often, like ng, for example']",A18THU3JHA6D6S
4851,581,"[u'I tried to remember if a letter changed to a different letter, like b to a p']",A18THU3JHA6D6S
4852,573,[u'female'],A18THU3JHA6D6S
5220,573,[u'female'],A1922YIUI5MMUP
5221,579,"[u""looked for n and p's""]",A1922YIUI5MMUP
5222,575,[u'english'],A1922YIUI5MMUP
5223,577,[u'english'],A1922YIUI5MMUP
