C1,V1,C2,C3,V2,C4,language,singular,plural,stem,segment1,segment2,notes,C5
t,e,d, ,u,s,both,teldus,teldusfa,teldus,,,,l
l,a,b, ,a,p,both,labap,labapfa,labap,,,,
f,o,ng, ,e,m,both,fongem,fongemfa,fongem,,,swapped ng and f,
p,u,s, ,i,t,both,pufsit,pufsitfa,pufsit,,,,f
n,i,m, ,o,l,both,nimol,nimolfa,nimol,,,,
n,e,m,p,a,b,voice,nemab,nemapfa,nemab,b,,,
s,o,b,t,u,d,voice,sobud,sobutfa,sobud,d,,,
f,e,t,p,a,b,voice,fetab,fetapfa,fetab,b,,,
t,a,d,t,i,d,voice,tamdid,tamditfa,tamdid,d,,,m
d,u,ng,p,i,b,voice,dungib,dungipfa,dungib,b,,swapped ng and d,
m,i,l,t,o,d,voice,milod,milotfa,milod,d,,,
l,i,p,p,e,b,voice,lispeb,lispepfa,lispeb,b,,,s
s,a,ng,t,o,d,voice,sangod,sangotfa,sangod,d,,,
p,o,n,p,e,b,voice,poneb,ponepfa,poneb,b,,,
b,u,f,t,u,d,voice,bupfud,bupfutfa,bupfud,d,,,p
f,u,n,p,e,m,plural,funemfa,funepfa,fune,p,,,
s,e,m,t,o,m,plural,semomfa,semotfa,semo,t,,,
n,a,ng,p,i,m,plural,nangimfa,nangipfa,nangi,p,,,
s,i,p,t,u,m,plural,sipumfa,siputfa,sipu,t,,,
l,o,t,p,a,m,plural,lotamfa,lotapfa,lota,p,,,
m,e,l,t,o,m,plural,melomfa,melotfa,melo,t,,,
b,a,ng,p,u,m,plural,bangumfa,bangupfa,bangu,p,,,
t,u,b,t,e,m,plural,tubemfa,tubetfa,tube,t,,,
d,i,f,p,a,m,plural,ditfamfa,ditfapfa,ditfa,p,,,t
p,o,d,t,i,m,plural,podimfa,poditfa,podi,t,,,
s,u,m,m,e,n,nasal,sumen,sumemfa,sumen,n,,,
l,o,b,m,o,n,nasal,lobon,lobomfa,lobon,n,,,
p,i,t,m,a,ng,nasal,pitang,pitamfa,pitang,ng,,,
d,e,d,m,i,ng,nasal,demding,demdimfa,demding,ng,,,m
f,a,ng,m,u,n,nasal,fangun,fangumfa,fangun,n,,swapped ng and d,
s,o,l,m,o,n,nasal,solon,solomfa,solon,n,,,
b,u,p,m,a,ng,nasal,buspang,buspamfa,buspang,ng,,,s
n,a,ng,m,u,ng,nasal,nangung,nangumfa,nangung,ng,,,
t,i,n,m,e,n,nasal,tinen,tinemfa,tinen,n,,n matched with b one extra time,
m,e,f,m,i,ng,nasal,mepfing,mepfimfa,mepfing,ng,,ng matched with d one extra time,p
l,u,d,n,u,m,test,ludfum,lunfum,ludfum,d,n,,
p,i,d,ng,a,p,test,pidfap,pingfap,pidfap,d,ng,,
t,o,d,n,o,b,test,todfob,tonfob,todfob,d,n,,
b,u,d,ng,i,l,test,budfil,bungfil,budfil,d,ng,,
d,i,d,n,i,ng,test,didfing,dinfing,didfing,d,n,,
s,u,d,ng,u,f,test,sudfuf,sungfuf,sudfuf,d,ng,,
n,a,d,n,u,ng,test,nadfung,nanfung,nadfung,d,n,swapped ng and n,
m,a,d,ng,a,s,test,madfas,mangfas,madfas,d,ng,,
m,e,d,n,e,t,test,medfet,menfet,medfet,d,n,,
n,i,d,ng,i,t,test,nidfit,ningfit,nidfit,d,ng,,
n,a,b,n,e,p,test,nabfep,nanfep,nabfep,b,n,,
t,i,b,ng,i,m,test,tibfim,tingfim,tibfim,b,ng,,
f,o,b,n,o,l,test,fobfol,fonfol,fobfol,b,n,,
p,e,b,ng,u,f,test,pebfuf,pengfuf,pebfuf,b,ng,,
b,u,b,n,a,n,test,bubfan,bunfan,bubfan,b,n,,
s,a,b,ng,o,d,test,sabfod,sangfod,sabfod,b,ng,,
f,o,b,n,e,s,test,fobfes,fonfes,fobfes,b,n,,
b,o,b,ng,a,ng,test,bobfang,bongfang,bobfang,b,ng,swapped ng and b,
l,e,b,n,o,ng,test,lebfong,lenfong,lebfong,b,n,,
d,e,b,ng,e,d,test,debfed,dengfed,debfed,b,ng,,
f,o,n,b,a,m,filler,fonfam,fobfam,fonfam,,,,
m,u,t,n,u,f,filler,mutfuf,munfuf,mutfuf,,,,
l,a,s,m,i,t,filler,lasfit,lamfit,lasfit,,,replaced f with s,
b,i,d,l,a,b,filler,bidfab,bilfab,bidfab,,,replaced f with l,
l,e,p,l,e,ng,filler,lepfeng,lelfeng,lepfeng,,,swapped ng and l,
s,u,l,d,e,n,filler,sulfen,sudfen,sulfen,,,,
n,i,m,ng,i,d,filler,nimfid,ningfid,nimfid,,,,
p,o,b,s,u,p,filler,pobfup,posfup,pobfup,,,,
d,e,s,t,o,ng,filler,desfong,detfong,desfong,,,,
t,a,ng,p,o,s,filler,tangfos,tapfos,tangfos,,,,
s,a,p,t,o,d,pilot_voice,sapodfa,sapotfa,sapod,d,,,
p,u,l,p,o,b,pilot_voice,pulobfa,pulopfa,pulob,b,,,
l,u,m,p,u,b,pilot_voice,lumibfa,lumipfa,lumib,b,,,
t,e,t,p,i,b,pilot_voice,tetubfa,tetupfa,tetub,b,,,
f,a,d,t,u,d,pilot_voice,fadudfa,fadutfa,fadud,d,,,
m,o,f,p,e,b,pilot_voice,mofebfa,mofepfa,mofeb,b,,,
b,i,n,t,e,d,pilot_voice,binedfa,binetfa,bined,d,,,
n,i,ng,t,a,d,pilot_voice,ningadfa,ningatfa,ningad,d,,,
s,e,ng,p,i,b,pilot_voice,sengibfa,sengipfa,sengib,b,,,
d,o,b,t,a,d,pilot_voice,dobadfa,dobatfa,dobad,d,swapped ng and b,,
s,a,p,m,o,ng,pilot_nasal,sapongfa,sapomfa,sapong,ng,,,
p,u,l,m,o,ng,pilot_nasal,pulongfa,pulomfa,pulong,ng,,,
l,u,m,m,u,ng,pilot_nasal,lumingfa,lumimfa,luming,ng,,,
t,e,t,m,i,n,pilot_nasal,tetunfa,tetumfa,tetun,n,,,
f,a,d,m,u,ng,pilot_nasal,fadungfa,fadumfa,fadung,ng,,,
m,o,f,m,e,ng,pilot_nasal,mofengfa,mofemfa,mofeng,ng,,,
b,i,n,m,e,n,pilot_nasal,binenfa,binemfa,binen,n,,,
n,i,ng,m,a,n,pilot_nasal,ninganfa,ningamfa,ningan,n,,,
s,e,ng,m,i,n,pilot_nasal,senginfa,sengimfa,sengin,n,swapped ng and s,,
d,o,b,m,a,n,pilot_nasal,dobanfa,dobamfa,doban,n,,,
