C1,V1,C2,C3,V2,C4,language,singular,plural,stem,segment1,segment2
t,e,d, ,u,s,both,tedus,tedusfa,tedus,,
l,a,b, ,a,p,both,labap,labapfa,labap,,
ng,o,f, ,e,m,both,ngofem,ngofemfa,ngofem,,
p,u,s, ,i,t,both,pusit,pusitfa,pusit,,
n,i,m, ,o,l,both,nimol,nimolfa,nimol,,
n,e,m,p,a,b,voice,nemab,nemapfa,nemab,b,
d,o,b,t,u,d,voice,dobud,dobutfa,dobud,d,
f,e,t,p,a,b,voice,fetab,fetapfa,fetab,b,
t,a,d,t,i,d,voice,tadid,taditfa,tadid,d,
ng,u,s,p,i,b,voice,ngusib,ngusipfa,ngusib,b,
m,i,l,t,o,d,voice,milod,milotfa,milod,d,
l,i,p,p,e,b,voice,lipeb,lipepfa,lipeb,b,
s,a,ng,p,o,b,voice,sangob,sangopfa,sangob,b,
p,o,n,t,e,d,voice,poned,ponetfa,poned,d,
b,u,f,t,u,d,voice,bufud,bufutfa,bufud,d,
n,e,m,m,a,n,nasal,neman,nemamfa,neman,n,
d,o,b,m,u,n,nasal,dobun,dobumfa,dobun,n,
f,e,t,m,a,ng,nasal,fetang,fetamfa,fetang,ng,
t,a,d,m,i,ng,nasal,tading,tadimfa,tading,ng,
ng,u,s,m,i,n,nasal,ngusin,ngusimfa,ngusin,n,
m,i,l,m,o,ng,nasal,milong,milomfa,milong,ng,
l,i,p,m,e,n,nasal,lipen,lipemfa,lipen,n,
s,a,ng,m,o,n,nasal,sangon,sangomfa,sangon,n,
p,o,n,m,e,ng,nasal,poneng,ponemfa,poneng,ng,
b,u,f,m,u,ng,nasal,bufung,bufumfa,bufung,ng,
l,u,d,ng,u,m,test,ludfum,lungfum,ludfum,d,ng
p,i,d,ng,a,p,test,pidfap,pingfap,pidfap,d,ng
t,o,b,n,o,b,test,tobfob,tonfob,tobfob,b,n
b,u,d,ng,i,l,test,budfil,bungfil,budfil,d,ng
d,i,d,n,i,ng,test,didfing,dinfing,didfing,d,n
s,u,d,n,u,f,test,sudfuf,sunfuf,sudfuf,d,n
m,a,b,n,u,n,test,mabfun,manfun,mabfun,b,n
ng,a,d,ng,a,t,test,ngadfat,ngangfat,ngadfat,d,ng
m,e,b,n,e,t,test,mebfet,menfet,mebfet,b,n
n,i,b,ng,i,s,test,nibfis,ningfis,nibfis,b,ng
n,a,d,ng,e,p,test,nadfep,nangfep,nadfep,d,ng
t,i,b,n,i,m,test,tibfim,tinfim,tibfim,b,n
f,o,b,ng,o,l,test,fobfol,fongfol,fobfol,b,ng
p,e,d,ng,u,f,test,pedfuf,pengfuf,pedfuf,d,ng
b,u,d,ng,a,n,test,budfan,bungfan,budfan,d,ng
s,a,b,n,o,d,test,sabfod,sanfod,sabfod,b,n
f,o,b,n,e,s,test,fobfes,fonfes,fobfes,b,n
ng,o,b,n,a,b,test,ngobfab,ngonfab,ngobfab,b,n
l,e,d,ng,o,ng,test,ledfong,lengfong,ledfong,d,ng
d,e,b,n,e,d,test,debfed,denfed,debfed,b,n
f,o,n,b,a,m,filler,fonfam,fobfam,fonfam,,
m,u,t,n,u,f,filler,mutfuf,munfuf,mutfuf,,
l,a,f,m,i,t,filler,laffit,lamfit,laffit,,
b,i,d,f,a,b,filler,bidfab,biffab,bidfab,,
t,e,p,l,e,l,filler,tepfel,telfel,tepfel,,
s,u,l,d,e,n,filler,sulfen,sudfen,sulfen,,
n,i,m,p,i,d,filler,nimfid,nipfid,nimfid,,
p,o,b,s,u,p,filler,pobfup,posfup,pobfup,,
d,e,s,t,o,ng,filler,desfong,detfong,desfong,,
ng,a,ng,ng,o,s,filler,ngangfos,ngangfos,ngangfos,,
s,a,p,t,o,d,pilot_voice,sapodfa,sapotfa,sapod,d,
p,u,l,p,o,b,pilot_voice,pulobfa,pulopfa,pulob,b,
l,u,m,p,i,b,pilot_voice,lumibfa,lumipfa,lumib,b,
t,e,t,p,u,b,pilot_voice,tetubfa,tetupfa,tetub,b,
f,a,d,t,u,d,pilot_voice,fadudfa,fadutfa,fadud,d,
m,o,f,p,e,b,pilot_voice,mofebfa,mofepfa,mofeb,b,
b,i,n,t,e,d,pilot_voice,binedfa,binetfa,bined,d,
n,i,ng,t,a,d,pilot_voice,ningadfa,ningatfa,ningad,d,
d,e,s,p,i,b,pilot_voice,desibfa,desipfa,desib,b,
ng,o,b,t,a,d,pilot_voice,ngobadfa,ngobatfa,ngobad,d,
s,a,p,m,o,ng,pilot_nasal,sapongfa,sapomfa,sapong,ng,
p,u,l,m,o,ng,pilot_nasal,pulongfa,pulomfa,pulong,ng,
l,u,m,m,i,ng,pilot_nasal,lumingfa,lumimfa,luming,ng,
t,e,t,m,u,n,pilot_nasal,tetunfa,tetumfa,tetun,n,
f,a,d,m,u,ng,pilot_nasal,fadungfa,fadumfa,fadung,ng,
m,o,f,m,e,ng,pilot_nasal,mofengfa,mofemfa,mofeng,ng,
b,i,n,m,e,n,pilot_nasal,binenfa,binemfa,binen,n,
n,i,ng,m,a,n,pilot_nasal,ninganfa,ningamfa,ningan,n,
d,e,s,m,i,n,pilot_nasal,desinfa,desimfa,desin,n,
ng,o,b,m,a,n,pilot_nasal,ngobanfa,ngobamfa,ngoban,n,
