,BlockIDs,CodaViolation,Condition,Correct,EndTime,HIT,ItemID,Iteration,OnsetViolation,OptionOrder,OptionResources,OptionTexts,PageID,PageResources,PageText,Permutation,SelectedID,SelectedPosition,SelectedText,StartTime,TrialNumber,UniqueID,Version,Vowel,WorkerID,type,ReactionTime
0,[u'1'],,,,1424807121171,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,,1,,,,,0,[],"In this experiment, you will be shown pairs of made-up words.
Pronounce the words to yourself. Based on how they sound, choose the one that you find more
English-like.",0,,,,1424807120284,0,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,,A2LD8A4LBTYELX,,887
1,[u'3'],,,,1424807121531,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,,1,,,,,2,[],"During experimental questions, you will not be able to use your mouse. Use
the F key to choose the option on the left, the J key to choose the option
on the right, and the spacebar to move forward.",0,,,,1424807121175,1,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,,A2LD8A4LBTYELX,,356
2,[u'340'],False,GG,[None],1424807122559,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,19,1,False,"[u'232', u'233']","[[], []]","[u'frep', u'gwald']",234,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'232'],[0],[u'frep'],1424807121540,2,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,e,A2LD8A4LBTYELX,"[u'test', u'filler']",1019
3,[u'340'],False,GG,[None],1424807123464,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,15,1,False,"[u'185', u'184']","[[], []]","[u'gwempt', u'snock']",186,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'184'],[1],[u'snock'],1424807122564,3,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,o,A2LD8A4LBTYELX,"[u'filler', u'test']",900
4,[u'340'],True,GB,[None],1424807124064,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,20,1,False,"[u'247', u'248']","[[], []]","[u'swukp', u'spelsh']",249,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'247'],[0],[u'swukp'],1424807123468,4,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,u,A2LD8A4LBTYELX,"[u'test', u'filler']",596
5,[u'340'],False,BG,[None],1424807124456,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,1,1,True,"[u'22', u'23']","[[], []]","[u'dlep', u'sloond']",24,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'23'],[1],[u'sloond'],1424807124068,5,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,e,A2LD8A4LBTYELX,"[u'test', u'filler']",388
6,[u'340'],False,BG,[None],1424807124767,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,21,1,True,"[u'263', u'262']","[[], []]","[u'shrelth', u'thmot']",264,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'263'],[0],[u'shrelth'],1424807124459,6,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,o,A2LD8A4LBTYELX,"[u'filler', u'test']",308
7,[u'340'],,"[u'BG', True, False]",[None],1424807125104,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,,1,,"[u'318', u'317']","[[], []]","[u'felp', u'krlisg']",316,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'317'],[1],[u'krlisg'],1424807124769,7,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,,A2LD8A4LBTYELX,"[u'catch-good', u'catch-bad']",335
8,[u'340'],,"[u'BB', True, True]",[None],1424807126008,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,,1,,"[u'329', u'330']","[[], []]","[u'psatr', u'lunt']",328,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'330'],[1],[u'lunt'],1424807125107,8,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,,A2LD8A4LBTYELX,"[u'catch-bad', u'catch-good']",901
9,[u'340'],False,GG,[None],1424807126623,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,23,1,False,"[u'280', u'281']","[[], []]","[u'strool', u'brur']",282,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'280'],[0],[u'strool'],1424807126012,9,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,oo,A2LD8A4LBTYELX,"[u'test', u'filler']",611
