,CodaViolation,Condition,Filler,Item,OnsetViolation,SelectedTest,Subject,TestPosition,TrialNumber,Version,Vowel
2,True,BB,blelth,10,True,False,A2LD8A4LBTYELX,1,2,1,o
3,True,GB,flelg,8,False,False,A2LD8A4LBTYELX,1,3,1,e
4,True,BB,throth,18,True,False,A2LD8A4LBTYELX,1,4,1,a
5,False,GG,trilb,19,False,True,A2LD8A4LBTYELX,1,5,1,e
6,True,BB,smim,6,True,False,A2LD8A4LBTYELX,1,6,1,a
7,False,BG,shrelth,17,True,False,A2LD8A4LBTYELX,1,7,1,oo
8,False,BG,fashk,13,True,False,A2LD8A4LBTYELX,0,8,1,e
9,False,BG,sloond,9,True,False,A2LD8A4LBTYELX,1,9,1,u
10,False,GG,felmth,15,False,True,A2LD8A4LBTYELX,0,10,1,o
12,True,GB,glagd,0,False,True,A2LD8A4LBTYELX,1,12,1,a
14,False,GG,gralfth,7,False,True,A2LD8A4LBTYELX,0,14,1,i
15,True,GB,skuck,16,False,False,A2LD8A4LBTYELX,0,15,1,e
16,True,GB,threlt,20,False,False,A2LD8A4LBTYELX,0,16,1,u
17,True,BB,sklime,22,True,False,A2LD8A4LBTYELX,0,17,1,i
18,False,BG,shesp,5,True,False,A2LD8A4LBTYELX,0,18,1,oo
19,False,BG,slils,1,True,False,A2LD8A4LBTYELX,0,19,1,e
20,True,GB,gwald,12,False,False,A2LD8A4LBTYELX,1,20,1,a
21,True,BB,brur,2,True,False,A2LD8A4LBTYELX,1,21,1,o
22,True,BB,skralk,14,True,False,A2LD8A4LBTYELX,0,22,1,i
23,False,GG,dwoond,23,False,True,A2LD8A4LBTYELX,1,23,1,oo
24,False,GG,skoths,3,False,True,A2LD8A4LBTYELX,0,24,1,i
25,True,GB,spelsh,4,False,False,A2LD8A4LBTYELX,0,25,1,u
27,False,GG,gwempt,11,False,True,A2LD8A4LBTYELX,1,27,1,oo
28,False,BG,spup,21,True,False,A2LD8A4LBTYELX,1,28,1,o
