,CodaViolation,Condition,Item,OnsetViolation,PageType,ReactionTime,Response,Subject,TrialNumber,Version,Vowel,YesPosition
3,0,BG,hroom,1,Test,18677,0,A0501481M8MAO691NT54,3,3,oo,0
4,1,BB,shnuthp,1,Test,9300,0,A0501481M8MAO691NT54,4,3,u,0
5,1,worst,wlratlumr,1,Catch,10381,0,A0501481M8MAO691NT54,5,3,,1
6,1,GB,drathf,0,Test,4620,1,A0501481M8MAO691NT54,6,3,a,1
7,1,worst,tmuhriz,1,Catch,5972,0,A0501481M8MAO691NT54,7,3,,1
8,1,GB,gropk,0,Test,29933,1,A0501481M8MAO691NT54,8,3,o,0
9,0,BG,dloo,1,Test,2540,0,A0501481M8MAO691NT54,9,3,oo,0
10,1,BB,vlemth,1,Test,1365,1,A0501481M8MAO691NT54,10,3,e,1
11,1,GB,stithp,0,Test,1764,0,A0501481M8MAO691NT54,11,3,i,1
12,1,best,merly,1,Catch,1820,1,A0501481M8MAO691NT54,12,3,,0
13,0,GG,smul,0,Test,4317,1,A0501481M8MAO691NT54,13,3,u,1
14,1,best,bressic,1,Catch,2069,0,A0501481M8MAO691NT54,14,3,,0
15,1,BB,vlafsh,1,Test,5461,0,A0501481M8MAO691NT54,15,3,a,0
16,1,best,claffer,1,Catch,1814,1,A0501481M8MAO691NT54,16,3,,0
17,1,best,dellous,1,Catch,1172,0,A0501481M8MAO691NT54,17,3,,1
18,1,BB,lrusf,1,Test,23314,0,A0501481M8MAO691NT54,18,3,u,1
19,1,GB,swokp,0,Test,5090,1,A0501481M8MAO691NT54,19,3,o,1
20,1,worst,zgdokpevf,1,Catch,38725,0,A0501481M8MAO691NT54,20,3,,1
21,0,GG,plen,0,Test,1789,1,A0501481M8MAO691NT54,21,3,e,0
22,1,worst,psafzotrl,1,Catch,1254,0,A0501481M8MAO691NT54,22,3,,0
23,1,GB,strishk,0,Test,2254,0,A0501481M8MAO691NT54,23,3,i,0
24,1,best,frotion,1,Catch,2429,1,A0501481M8MAO691NT54,24,3,,0
25,0,GG,kloop,0,Test,4230,0,A0501481M8MAO691NT54,25,3,oo,0
26,1,worst,kflisgwevr,1,Catch,54692,0,A0501481M8MAO691NT54,26,3,,0
27,1,worst,lbafthrizk,1,Catch,1275,0,A0501481M8MAO691NT54,27,3,,0
28,0,BG,shnell,1,Test,1886,1,A0501481M8MAO691NT54,28,3,e,0
29,1,GB,snathf,0,Test,4566,1,A0501481M8MAO691NT54,29,3,a,0
30,0,BG,thlizz,1,Test,2294,0,A0501481M8MAO691NT54,30,3,i,0
31,0,GG,splock,0,Test,47269,0,A0501481M8MAO691NT54,31,3,o,0
32,0,BG,thlom,1,Test,4470,0,A0501481M8MAO691NT54,32,3,o,0
33,0,GG,skreff,0,Test,2677,0,A0501481M8MAO691NT54,33,3,e,0
34,1,BB,zmad,1,Test,1620,0,A0501481M8MAO691NT54,34,3,a,1
35,1,best,spellion,1,Catch,2430,1,A0501481M8MAO691NT54,35,3,,0
36,1,BB,thmepk,1,Test,1615,0,A0501481M8MAO691NT54,36,3,e,0
37,0,BG,lrit,1,Test,1909,1,A0501481M8MAO691NT54,37,3,i,1
38,0,GG,spood,0,Test,1966,1,A0501481M8MAO691NT54,38,3,oo,1
459,1,BB,zmad,1,Test,6675,0,A13WWY2NOP6TC0,3,3,a,1
460,1,BB,thmepk,1,Test,4290,0,A13WWY2NOP6TC0,4,3,e,1
461,1,GB,stithp,0,Test,6545,0,A13WWY2NOP6TC0,5,3,i,0
462,0,GG,kloop,0,Test,4849,1,A13WWY2NOP6TC0,6,3,oo,0
463,1,best,dellous,1,Catch,4247,1,A13WWY2NOP6TC0,7,3,,0
464,0,BG,shnell,1,Test,9103,1,A13WWY2NOP6TC0,8,3,e,0
465,1,GB,snathf,0,Test,3700,0,A13WWY2NOP6TC0,9,3,a,0
466,0,GG,smul,0,Test,6066,1,A13WWY2NOP6TC0,10,3,u,0
467,0,BG,hroom,1,Test,3429,0,A13WWY2NOP6TC0,11,3,oo,1
468,1,GB,swokp,0,Test,2668,0,A13WWY2NOP6TC0,12,3,o,1
469,1,best,spellion,1,Catch,2104,1,A13WWY2NOP6TC0,13,3,,1
470,0,GG,plen,0,Test,2196,1,A13WWY2NOP6TC0,14,3,e,1
471,1,worst,lbafthrizk,1,Catch,2517,0,A13WWY2NOP6TC0,15,3,,0
472,1,worst,kflisgwevr,1,Catch,2335,0,A13WWY2NOP6TC0,16,3,,1
473,1,best,merly,1,Catch,2106,1,A13WWY2NOP6TC0,17,3,,1
474,0,GG,skreff,0,Test,2774,0,A13WWY2NOP6TC0,18,3,e,1
475,1,best,claffer,1,Catch,1522,1,A13WWY2NOP6TC0,19,3,,1
476,1,BB,vlafsh,1,Test,2779,0,A13WWY2NOP6TC0,20,3,a,0
477,1,GB,drathf,0,Test,2337,0,A13WWY2NOP6TC0,21,3,a,1
478,1,BB,shnuthp,1,Test,2021,0,A13WWY2NOP6TC0,22,3,u,0
479,0,GG,spood,0,Test,1621,1,A13WWY2NOP6TC0,23,3,oo,1
480,1,best,frotion,1,Catch,2440,1,A13WWY2NOP6TC0,24,3,,0
481,1,best,bressic,1,Catch,1946,1,A13WWY2NOP6TC0,25,3,,0
482,0,BG,thlizz,1,Test,2621,0,A13WWY2NOP6TC0,26,3,i,1
483,1,worst,wlratlumr,1,Catch,1666,0,A13WWY2NOP6TC0,27,3,,1
484,1,worst,psafzotrl,1,Catch,1792,0,A13WWY2NOP6TC0,28,3,,0
485,1,BB,lrusf,1,Test,2573,0,A13WWY2NOP6TC0,29,3,u,0
486,0,GG,splock,0,Test,1630,1,A13WWY2NOP6TC0,30,3,o,1
487,1,worst,tmuhriz,1,Catch,2057,0,A13WWY2NOP6TC0,31,3,,0
488,1,worst,zgdokpevf,1,Catch,1651,0,A13WWY2NOP6TC0,32,3,,1
489,1,GB,strishk,0,Test,4093,0,A13WWY2NOP6TC0,33,3,i,0
490,0,BG,dloo,1,Test,2218,0,A13WWY2NOP6TC0,34,3,oo,0
491,1,GB,gropk,0,Test,2081,0,A13WWY2NOP6TC0,35,3,o,0
492,0,BG,thlom,1,Test,3256,0,A13WWY2NOP6TC0,36,3,o,0
493,0,BG,lrit,1,Test,1727,1,A13WWY2NOP6TC0,37,3,i,0
494,1,BB,vlemth,1,Test,2164,0,A13WWY2NOP6TC0,38,3,e,1
981,1,worst,tmuhriz,1,Catch,8153,0,A17T6TVHCLK3MH,3,0,,0
