,PageID,SelectedText,WorkerID
171,563,[u'English'],A11T1Z2NVJ6DTP
172,565,[u'English'],A11T1Z2NVJ6DTP
173,557,[23],A11T1Z2NVJ6DTP
174,567,"[u'combinations of sounds that were familiar, often vowel heavy']",A11T1Z2NVJ6DTP
175,561,[u'female'],A11T1Z2NVJ6DTP
252,567,[u'Phonetics'],A12732HJZ36R6Q
253,557,[28],A12732HJZ36R6Q
254,565,[u'English'],A12732HJZ36R6Q
255,561,[u'male'],A12732HJZ36R6Q
256,563,[u'English'],A12732HJZ36R6Q
450,563,[u'english '],A13T3WDL9LTCO6
451,557,[25],A13T3WDL9LTCO6
452,567,[u'just sounded it out'],A13T3WDL9LTCO6
453,565,[u'english'],A13T3WDL9LTCO6
454,561,[u'male'],A13T3WDL9LTCO6
539,557,[29],A1468JGK2IQS47
540,565,[u'English'],A1468JGK2IQS47
541,563,[u'English'],A1468JGK2IQS47
542,567,[u'Speaking them aloud'],A1468JGK2IQS47
543,561,[u'female'],A1468JGK2IQS47
620,557,[31],A14QUXLGHE0ABZ
621,567,[u'sound them out'],A14QUXLGHE0ABZ
622,561,[u'female'],A14QUXLGHE0ABZ
623,563,[u'english'],A14QUXLGHE0ABZ
624,565,[u'english'],A14QUXLGHE0ABZ
811,557,[21],A16U9GBEOQ9AFB
812,565,[u'English'],A16U9GBEOQ9AFB
813,563,[u'English'],A16U9GBEOQ9AFB
814,561,[u'female'],A16U9GBEOQ9AFB
815,567,[u'If pronunciation sounds like it could blend in with other english words'],A16U9GBEOQ9AFB
972,561,[u'female'],A17MDKYW97KPKF
973,563,[u'English'],A17MDKYW97KPKF
974,557,[37],A17MDKYW97KPKF
975,565,[u'English'],A17MDKYW97KPKF
976,567,[u'intuition'],A17MDKYW97KPKF
1171,561,[u'male'],A19W7Z4QD4UVFC
1172,567,[u'I said it out loud and tried to compare it to all words spelled with similar letters.'],A19W7Z4QD4UVFC
1173,563,[u'English'],A19W7Z4QD4UVFC
1174,557,[27],A19W7Z4QD4UVFC
1175,565,[u'English'],A19W7Z4QD4UVFC
1785,561,[u'female'],A1F8MOWCCVDIH2
1786,565,[u'English'],A1F8MOWCCVDIH2
1787,557,[46],A1F8MOWCCVDIH2
1788,567,[u'how the word sounded but also how many consonants were in sequence (lots of consonants in a row with no vowel does not seem like a possibility in English)'],A1F8MOWCCVDIH2
1789,563,[u'English'],A1F8MOWCCVDIH2
1829,563,[u'English'],A1FTKZ4YTARN6
1830,557,[21],A1FTKZ4YTARN6
1831,567,"[u'They had to have distinct syllables, instead of just a jumble of consonants.']",A1FTKZ4YTARN6
1832,565,[u'English'],A1FTKZ4YTARN6
1833,561,[u'female'],A1FTKZ4YTARN6
1873,567,[u'Known words and sentence structure.'],A1G2Y47H9V5Q70
1874,565,[u'English'],A1G2Y47H9V5Q70
1875,557,[33],A1G2Y47H9V5Q70
1876,561,[u'female'],A1G2Y47H9V5Q70
1877,563,[u'English'],A1G2Y47H9V5Q70
1962,567,[u'whether or not the words were plausible to the way the english language is set up to begin with.  Like certain letters in words are never together.'],A1GKTDO2GIRI2M
1963,565,[u'english'],A1GKTDO2GIRI2M
1964,557,[32],A1GKTDO2GIRI2M
1965,561,[u'female'],A1GKTDO2GIRI2M
1966,563,[u'english'],A1GKTDO2GIRI2M
2125,567,[u'sound and spelling of the word'],A1HO3Z29A3N7K5
2126,557,[27],A1HO3Z29A3N7K5
2127,565,[u'English'],A1HO3Z29A3N7K5
2128,561,[u'male'],A1HO3Z29A3N7K5
2129,563,[u'English'],A1HO3Z29A3N7K5
2287,561,[u'male'],A1J21DM2Z753X4
2288,557,[30],A1J21DM2Z753X4
2289,565,[u'English'],A1J21DM2Z753X4
2290,567,[u'I sounded out the word and tried to tell if it sounded like something that would be spoken in English'],A1J21DM2Z753X4
2291,563,[u'English'],A1J21DM2Z753X4
2412,557,[22],A1JO01TWBHEN85
2413,563,[u'english'],A1JO01TWBHEN85
2414,561,[u'male'],A1JO01TWBHEN85
2415,565,[u'english'],A1JO01TWBHEN85
2416,567,,A1JO01TWBHEN85
2493,567,[u'I thought about how a word would sound when speaking it out loud. If it sounded like something in English I chose it as such.'],A1KB7ZWSRGVLV1
2494,565,[u'English'],A1KB7ZWSRGVLV1
2495,563,[u'English'],A1KB7ZWSRGVLV1
2496,557,[19],A1KB7ZWSRGVLV1
2497,561,[u'male'],A1KB7ZWSRGVLV1
2909,563,[u'English'],A1P9OBGX73AGSL
2910,557,[35],A1P9OBGX73AGSL
2911,561,[u'male'],A1P9OBGX73AGSL
2912,565,[u'English'],A1P9OBGX73AGSL
2913,567,[u'I imagined pronouncing the word with a foreign accent'],A1P9OBGX73AGSL
2953,567,[u'Sounding them out'],A1PLN4H19MD4PX
2954,565,[u'English'],A1PLN4H19MD4PX
2955,563,[u'English'],A1PLN4H19MD4PX
2956,557,[32],A1PLN4H19MD4PX
2957,561,[u'female'],A1PLN4H19MD4PX
3070,565,[u'English'],A1RQ4UTGUL0YWU
3071,557,[20],A1RQ4UTGUL0YWU
3072,563,[u'English'],A1RQ4UTGUL0YWU
3073,561,[u'female'],A1RQ4UTGUL0YWU
3074,567,"[u'if I could pronounce it in my head and it sounded like one syllable, then Yes. Otherwise, No.']",A1RQ4UTGUL0YWU
3278,565,[u'English'],A1TL2USDKBHRVD
3279,563,[u'English'],A1TL2USDKBHRVD
3280,557,[31],A1TL2USDKBHRVD
3281,567,[u'Phonetic info'],A1TL2USDKBHRVD
3282,561,[u'male'],A1TL2USDKBHRVD
3685,561,[u'female'],A1VI0LLY8JO8XO
3686,565,[u'English'],A1VI0LLY8JO8XO
3687,563,,A1VI0LLY8JO8XO
3688,557,[54],A1VI0LLY8JO8XO
3689,567,[u'I pronounced it'],A1VI0LLY8JO8XO
4090,563,[u'English'],A1XWT5Q5HGYR12
4091,567,[u'Words that look most like english words'],A1XWT5Q5HGYR12
4092,561,[u'male'],A1XWT5Q5HGYR12
4093,565,[u'English'],A1XWT5Q5HGYR12
4094,557,[23],A1XWT5Q5HGYR12
4179,563,[u'english'],A1Z9Q0X7194BRQ
4180,567,[u'said them outloud'],A1Z9Q0X7194BRQ
4181,561,[u'female'],A1Z9Q0X7194BRQ
4182,565,[u'english'],A1Z9Q0X7194BRQ
