,CodaViolation,Condition,Filler,Item,OnsetViolation,ReactionTime,SelectedTest,Subject,TestPosition,TrialNumber,Version,Vowel
2,0,GG,glagd,0,0,6222,1,A122DBB2YH0XY4,1,2,0,a
3,0,BG,skuck,10,1,4734,0,A122DBB2YH0XY4,0,3,0,o
4,0,GG,slils,8,0,1902,1,A122DBB2YH0XY4,1,4,0,e
5,1,BB,skralk,15,1,2430,0,A122DBB2YH0XY4,0,5,0,o
6,0,BG,felmth,18,1,2487,0,A122DBB2YH0XY4,0,6,0,a
7,1,GB,threlt,13,0,1726,0,A122DBB2YH0XY4,1,7,0,e
8,1,GB,shrelth,5,0,1615,1,A122DBB2YH0XY4,0,8,0,oo
9,1,GB,fashk,17,0,2071,0,A122DBB2YH0XY4,1,9,0,oo
10,1,BB,spelsh,11,1,1607,0,A122DBB2YH0XY4,1,10,0,oo
11,1,GB,gwempt,9,0,2319,1,A122DBB2YH0XY4,0,11,0,u
12,0,BG,skoths,14,1,1526,0,A122DBB2YH0XY4,0,12,0,i
13,1,GB,gralfth,21,0,2303,0,A122DBB2YH0XY4,1,13,0,o
17,0,BG,spup,6,1,2182,1,A122DBB2YH0XY4,0,17,0,a
18,0,GG,throth,20,0,1350,0,A122DBB2YH0XY4,0,18,0,u
19,1,BB,gwald,23,1,1367,0,A122DBB2YH0XY4,1,19,0,oo
20,0,BG,blelth,22,1,2534,1,A122DBB2YH0XY4,1,20,0,i
21,0,GG,sklime,12,0,1360,1,A122DBB2YH0XY4,1,21,0,a
22,0,BG,flelg,2,1,1910,0,A122DBB2YH0XY4,0,22,0,o
23,1,GB,smim,1,0,1286,0,A122DBB2YH0XY4,1,23,0,e
24,1,BB,shesp,3,1,1343,0,A122DBB2YH0XY4,0,24,0,i
25,1,BB,brur,7,1,1086,0,A122DBB2YH0XY4,1,25,0,i
27,0,GG,sloond,4,0,1319,1,A122DBB2YH0XY4,0,27,0,u
28,1,BB,dwoond,19,1,1165,0,A122DBB2YH0XY4,0,28,0,e
29,0,GG,trilb,16,0,1239,1,A122DBB2YH0XY4,1,29,0,e
39,1,GB,gralfth,2,0,9398,0,A131GB4SY09Q5N,1,2,3,o
41,1,BB,flelg,16,1,3540,0,A131GB4SY09Q5N,1,4,3,e
43,0,GG,glagd,1,0,1342,1,A131GB4SY09Q5N,0,6,3,e
44,1,BB,gwald,8,1,2391,0,A131GB4SY09Q5N,0,7,3,e
46,0,BG,felmth,15,1,1773,0,A131GB4SY09Q5N,0,9,3,o
47,0,GG,skuck,21,0,2706,0,A131GB4SY09Q5N,0,10,3,o
48,1,BB,threlt,0,1,1490,0,A131GB4SY09Q5N,1,11,3,a
49,0,GG,shrelth,9,0,1294,1,A131GB4SY09Q5N,0,12,3,u
50,0,BG,skoths,11,1,1697,1,A131GB4SY09Q5N,0,13,3,oo
51,1,BB,sklime,12,1,1015,0,A131GB4SY09Q5N,1,14,3,a
52,0,GG,sloond,13,0,1776,0,A131GB4SY09Q5N,0,15,3,e
53,1,GB,dwoond,14,0,1583,0,A131GB4SY09Q5N,1,16,3,i
54,1,GB,spup,22,0,1125,0,A131GB4SY09Q5N,1,17,3,i
55,1,GB,slils,18,0,1561,0,A131GB4SY09Q5N,1,18,3,a
57,1,GB,throth,10,0,1306,0,A131GB4SY09Q5N,1,20,3,o
58,0,BG,trilb,19,1,1351,0,A131GB4SY09Q5N,0,21,3,e
59,0,GG,fashk,5,0,1223,1,A131GB4SY09Q5N,1,22,3,oo
60,1,GB,gwempt,6,0,4856,0,A131GB4SY09Q5N,1,23,3,a
61,0,BG,smim,7,1,2226,1,A131GB4SY09Q5N,1,24,3,i
62,0,BG,skralk,3,1,1432,1,A131GB4SY09Q5N,1,25,3,i
63,1,BB,blelth,4,1,1403,0,A131GB4SY09Q5N,0,26,3,u
64,1,BB,spelsh,20,1,1426,0,A131GB4SY09Q5N,0,27,3,u
65,0,BG,brur,23,1,2138,0,A131GB4SY09Q5N,0,28,3,oo
66,0,GG,shesp,17,0,1682,0,A131GB4SY09Q5N,1,29,3,oo
76,1,GB,spup,19,0,13774,0,A13BM5CJGCYU3S,0,2,2,e
77,0,BG,shesp,20,1,10344,0,A13BM5CJGCYU3S,0,3,2,u
78,1,GB,flelg,11,0,6399,0,A13BM5CJGCYU3S,0,4,2,oo
79,0,BG,gwempt,8,1,5381,0,A13BM5CJGCYU3S,0,5,2,e
80,0,GG,sklime,2,0,4491,1,A13BM5CJGCYU3S,1,6,2,o
81,0,BG,throth,16,1,3991,0,A13BM5CJGCYU3S,0,7,2,e
82,1,BB,threlt,1,1,4492,0,A13BM5CJGCYU3S,1,8,2,e
83,0,GG,felmth,6,0,3679,1,A13BM5CJGCYU3S,0,9,2,a
84,1,GB,sloond,15,0,4758,0,A13BM5CJGCYU3S,1,10,2,o
86,0,GG,shrelth,22,0,3318,1,A13BM5CJGCYU3S,1,12,2,i
88,1,GB,skuck,7,0,3841,0,A13BM5CJGCYU3S,0,14,2,i
89,0,BG,gralfth,12,1,4051,1,A13BM5CJGCYU3S,1,15,2,a
90,1,GB,slils,3,0,5012,0,A13BM5CJGCYU3S,1,16,2,i
91,1,BB,skoths,17,1,3925,0,A13BM5CJGCYU3S,0,17,2,oo
92,0,BG,spelsh,4,1,1793,0,A13BM5CJGCYU3S,1,18,2,u
93,1,BB,glagd,13,1,7801,0,A13BM5CJGCYU3S,1,19,2,e
96,1,GB,gwald,23,0,3959,0,A13BM5CJGCYU3S,0,22,2,oo
97,0,BG,brur,0,1,3112,1,A13BM5CJGCYU3S,1,23,2,a
98,0,GG,trilb,18,0,1476,1,A13BM5CJGCYU3S,1,24,2,a
99,0,GG,smim,14,0,7865,0,A13BM5CJGCYU3S,0,25,2,i
100,1,BB,fashk,9,1,3986,0,A13BM5CJGCYU3S,1,26,2,u
101,0,GG,dwoond,10,0,1586,1,A13BM5CJGCYU3S,0,27,2,o
102,1,BB,blelth,5,1,1929,0,A13BM5CJGCYU3S,1,28,2,oo
103,1,BB,skralk,21,1,1963,0,A13BM5CJGCYU3S,1,29,2,o
113,0,BG,flelg,23,1,8063,0,A14HQNH7COGDK2,0,2,3,oo
114,1,BB,threlt,12,1,7159,0,A14HQNH7COGDK2,1,3,3,a
115,0,GG,glagd,17,0,7230,1,A14HQNH7COGDK2,1,4,3,oo
116,1,GB,gwald,10,0,6462,0,A14HQNH7COGDK2,1,5,3,o
117,1,GB,sklime,14,0,9410,0,A14HQNH7COGDK2,0,6,3,i
118,0,GG,skralk,21,0,5891,1,A14HQNH7COGDK2,1,7,3,o
121,1,BB,shesp,0,1,7122,0,A14HQNH7COGDK2,0,10,3,a
122,1,GB,trilb,18,0,9372,0,A14HQNH7COGDK2,0,11,3,a
123,1,BB,spup,4,1,6218,0,A14HQNH7COGDK2,1,12,3,u
125,1,BB,sloond,20,1,6082,0,A14HQNH7COGDK2,1,14,3,u
126,0,GG,smim,13,0,3830,1,A14HQNH7COGDK2,1,15,3,e
127,1,GB,blelth,6,0,6517,0,A14HQNH7COGDK2,0,16,3,a
128,1,GB,brur,2,0,6730,0,A14HQNH7COGDK2,0,17,3,o
130,0,GG,gwempt,9,0,4759,1,A14HQNH7COGDK2,0,19,3,u
131,1,GB,dwoond,22,0,4815,0,A14HQNH7COGDK2,0,20,3,i
132,0,GG,gralfth,1,0,7718,1,A14HQNH7COGDK2,0,21,3,e
133,1,BB,fashk,16,1,4422,0,A14HQNH7COGDK2,0,22,3,e
134,0,BG,skoths,19,1,6283,0,A14HQNH7COGDK2,1,23,3,e
135,0,BG,felmth,3,1,3344,1,A14HQNH7COGDK2,1,24,3,i
136,0,BG,slils,7,1,5940,0,A14HQNH7COGDK2,0,25,3,i
137,0,BG,throth,15,1,4989,0,A14HQNH7COGDK2,1,26,3,o
138,1,BB,skuck,8,1,6438,0,A14HQNH7COGDK2,0,27,3,e
139,0,BG,shrelth,11,1,7044,1,A14HQNH7COGDK2,1,28,3,oo
140,0,GG,spelsh,5,0,5872,1,A14HQNH7COGDK2,0,29,3,oo
187,1,BB,throth,15,1,8508,0,A150GMV1YQWWB3,0,2,0,o
188,0,GG,gralfth,16,0,2917,1,A150GMV1YQWWB3,1,3,0,e
189,0,BG,fashk,10,1,2510,1,A150GMV1YQWWB3,1,4,0,o
190,0,GG,skralk,20,0,4022,1,A150GMV1YQWWB3,0,5,0,u
191,0,BG,gwald,6,1,2652,1,A150GMV1YQWWB3,0,6,0,a
193,0,GG,blelth,8,0,1741,1,A150GMV1YQWWB3,1,8,0,e
194,0,GG,skoths,12,0,1757,1,A150GMV1YQWWB3,0,9,0,a
195,0,GG,shrelth,0,0,2263,1,A150GMV1YQWWB3,0,10,0,a
196,0,BG,skuck,18,1,2285,0,A150GMV1YQWWB3,1,11,0,a
198,1,GB,felmth,17,0,2797,0,A150GMV1YQWWB3,1,13,0,oo
200,1,BB,dwoond,3,1,2365,0,A150GMV1YQWWB3,0,15,0,i
201,1,BB,slils,11,1,3381,0,A150GMV1YQWWB3,0,16,0,oo
202,1,GB,flelg,5,0,1909,0,A150GMV1YQWWB3,0,17,0,oo
203,0,GG,threlt,4,0,1958,1,A150GMV1YQWWB3,1,18,0,u
204,1,GB,spup,1,0,1431,0,A150GMV1YQWWB3,0,19,0,e
205,0,BG,gwempt,22,1,3093,0,A150GMV1YQWWB3,1,20,0,i
206,0,BG,sloond,14,1,2838,0,A150GMV1YQWWB3,0,21,0,i
208,1,BB,shesp,19,1,2185,0,A150GMV1YQWWB3,0,23,0,e
209,1,BB,glagd,7,1,2829,0,A150GMV1YQWWB3,1,24,0,i
210,1,BB,brur,23,1,1702,0,A150GMV1YQWWB3,0,25,0,oo
211,1,GB,sklime,21,0,2807,0,A150GMV1YQWWB3,0,26,0,o
212,1,GB,smim,13,0,2398,0,A150GMV1YQWWB3,0,27,0,e
213,1,GB,trilb,9,0,2093,0,A150GMV1YQWWB3,0,28,0,u
214,0,BG,spelsh,2,1,1540,0,A150GMV1YQWWB3,0,29,0,o
224,1,BB,throth,10,1,36977,1,A16AVRDSVD10B6,0,2,1,o
225,1,GB,skoths,20,0,5071,0,A16AVRDSVD10B6,0,3,1,u
227,1,BB,shesp,14,1,4655,0,A16AVRDSVD10B6,0,5,1,i
228,1,BB,brur,18,1,4324,0,A16AVRDSVD10B6,0,6,1,a
230,1,BB,spelsh,6,1,5485,0,A16AVRDSVD10B6,1,8,1,a
231,0,BG,felmth,9,1,7758,1,A16AVRDSVD10B6,0,9,1,u
232,0,GG,flelg,7,0,5971,0,A16AVRDSVD10B6,0,10,1,i
233,0,GG,skuck,3,0,6520,1,A16AVRDSVD10B6,0,11,1,i
234,1,GB,skralk,4,0,5140,0,A16AVRDSVD10B6,0,12,1,u
235,1,GB,fashk,8,0,5627,1,A16AVRDSVD10B6,0,13,1,e
236,1,GB,threlt,16,0,4690,0,A16AVRDSVD10B6,1,14,1,e
237,0,BG,sklime,1,1,6169,0,A16AVRDSVD10B6,1,15,1,e
238,0,GG,slils,23,0,5343,1,A16AVRDSVD10B6,0,16,1,oo
239,1,GB,blelth,12,0,6116,0,A16AVRDSVD10B6,1,17,1,a
240,0,GG,gwempt,11,0,6982,0,A16AVRDSVD10B6,0,18,1,oo
241,0,BG,glagd,21,1,4154,1,A16AVRDSVD10B6,1,19,1,o
242,0,BG,gwald,5,1,5764,1,A16AVRDSVD10B6,0,20,1,oo
243,1,BB,gralfth,22,1,6496,0,A16AVRDSVD10B6,0,21,1,i
245,1,BB,smim,2,1,3572,0,A16AVRDSVD10B6,0,23,1,o
246,0,BG,shrelth,13,1,6013,0,A16AVRDSVD10B6,0,24,1,e
247,0,GG,dwoond,19,0,7474,1,A16AVRDSVD10B6,1,25,1,e
248,1,GB,spup,0,0,2764,0,A16AVRDSVD10B6,1,26,1,a
249,0,GG,trilb,15,0,2522,1,A16AVRDSVD10B6,0,27,1,o
250,0,BG,sloond,17,1,7561,0,A16AVRDSVD10B6,0,28,1,oo
261,1,GB,skuck,19,0,32683,0,A177EXELDLWTWV,1,2,2,e
262,1,BB,fashk,21,1,4923,0,A177EXELDLWTWV,1,3,2,o
263,0,BG,gwempt,20,1,1436,0,A177EXELDLWTWV,1,4,2,u
264,0,GG,dwoond,18,0,1182,1,A177EXELDLWTWV,1,5,2,a
265,1,BB,skralk,5,1,50166,0,A177EXELDLWTWV,0,6,2,oo
266,0,GG,shrelth,6,0,1052,1,A177EXELDLWTWV,0,7,2,a
267,0,GG,throth,14,0,918,0,A177EXELDLWTWV,1,8,2,i
268,1,GB,skoths,23,0,1143,0,A177EXELDLWTWV,1,9,2,oo
270,0,BG,shesp,0,1,999,0,A177EXELDLWTWV,1,11,2,a
271,1,GB,slils,7,0,1412,0,A177EXELDLWTWV,1,12,2,i
