,Condition,Filler,ReactionTime,SelectedTest,Subject,TestPosition,TrialNumber,Version
108,BG,shesp,10418,True,A2B5GFYJGMOI36,1,2,0
109,BB,shrelth,11273,False,A2B5GFYJGMOI36,1,3,0
110,GB,spelsh,6812,False,A2B5GFYJGMOI36,1,4,0
111,BG,fashk,5731,False,A2B5GFYJGMOI36,1,5,0
112,GB,gralfth,6365,False,A2B5GFYJGMOI36,0,6,0
113,BB,spelsh,5948,False,A2B5GFYJGMOI36,0,7,0
114,GG,gwald,4767,True,A2B5GFYJGMOI36,0,8,0
115,GG,brur,5088,True,A2B5GFYJGMOI36,0,9,0
117,GG,slils,6419,True,A2B5GFYJGMOI36,0,11,0
118,GB,trilb,4215,True,A2B5GFYJGMOI36,1,12,0
119,BG,felmth,8115,False,A2B5GFYJGMOI36,1,13,0
120,BG,dwoond,7599,True,A2B5GFYJGMOI36,0,14,0
121,GB,threlt,5305,False,A2B5GFYJGMOI36,0,15,0
123,BB,sklime,4986,False,A2B5GFYJGMOI36,0,17,0
124,GG,smim,2496,True,A2B5GFYJGMOI36,0,18,0
125,BG,brur,5307,False,A2B5GFYJGMOI36,1,19,0
126,BG,felmth,4637,True,A2B5GFYJGMOI36,1,20,0
127,BB,trilb,4143,False,A2B5GFYJGMOI36,0,21,0
128,BB,smim,4824,False,A2B5GFYJGMOI36,0,22,0
129,BB,spup,2766,False,A2B5GFYJGMOI36,0,23,0
130,GB,sloond,3622,False,A2B5GFYJGMOI36,0,24,0
131,GG,slils,3006,True,A2B5GFYJGMOI36,1,25,0
132,GB,glagd,9707,False,A2B5GFYJGMOI36,1,26,0
133,GG,smim,3264,True,A2B5GFYJGMOI36,0,27,0
144,BG,trilb,12334,True,A6NJJ92UFUEDE,1,2,3
145,GG,gwald,3284,True,A6NJJ92UFUEDE,1,3,3
146,GB,dwoond,6165,False,A6NJJ92UFUEDE,0,4,3
147,BB,blelth,3691,False,A6NJJ92UFUEDE,1,5,3
148,BB,skralk,2154,False,A6NJJ92UFUEDE,1,6,3
149,BB,sloond,2828,False,A6NJJ92UFUEDE,0,7,3
150,BG,shrelth,2795,False,A6NJJ92UFUEDE,1,8,3
151,BB,spelsh,2043,False,A6NJJ92UFUEDE,1,9,3
152,GB,dwoond,4301,False,A6NJJ92UFUEDE,0,10,3
153,GG,spelsh,1970,False,A6NJJ92UFUEDE,0,11,3
154,GB,skuck,2091,False,A6NJJ92UFUEDE,0,12,3
155,BG,skralk,1715,False,A6NJJ92UFUEDE,1,13,3
156,GB,threlt,2556,False,A6NJJ92UFUEDE,0,14,3
158,BG,blelth,16154,False,A6NJJ92UFUEDE,0,16,3
159,GG,slils,3861,True,A6NJJ92UFUEDE,1,17,3
160,GB,shesp,4926,False,A6NJJ92UFUEDE,0,18,3
161,BB,smim,2442,False,A6NJJ92UFUEDE,0,19,3
162,GB,flelg,3266,False,A6NJJ92UFUEDE,0,20,3
164,GG,spup,2794,False,A6NJJ92UFUEDE,0,22,3
165,BB,smim,2547,False,A6NJJ92UFUEDE,1,23,3
166,BG,skralk,1882,False,A6NJJ92UFUEDE,0,24,3
167,GG,sklime,2937,False,A6NJJ92UFUEDE,1,25,3
168,GG,skuck,1659,True,A6NJJ92UFUEDE,0,26,3
169,BG,throth,1843,False,A6NJJ92UFUEDE,1,27,3
217,GB,gwempt,6281,False,A2TGMA32HYLHRE,1,2,1
218,GB,skoths,5802,False,A2TGMA32HYLHRE,1,3,1
219,GG,brur,4980,True,A2TGMA32HYLHRE,0,4,1
220,GG,skralk,2701,True,A2TGMA32HYLHRE,1,5,1
221,GG,spup,2469,True,A2TGMA32HYLHRE,1,6,1
222,BB,shesp,2399,False,A2TGMA32HYLHRE,1,7,1
223,BB,flelg,2950,False,A2TGMA32HYLHRE,1,8,1
224,GB,trilb,3610,True,A2TGMA32HYLHRE,0,9,1
225,GB,blelth,3552,True,A2TGMA32HYLHRE,1,10,1
227,BB,shrelth,4597,False,A2TGMA32HYLHRE,0,12,1
229,BG,sklime,3119,True,A2TGMA32HYLHRE,1,14,1
230,GG,gwald,2633,True,A2TGMA32HYLHRE,1,15,1
231,BG,slils,4636,True,A2TGMA32HYLHRE,0,16,1
232,GG,threlt,6213,False,A2TGMA32HYLHRE,0,17,1
234,BB,fashk,1982,False,A2TGMA32HYLHRE,0,19,1
235,BB,felmth,4529,False,A2TGMA32HYLHRE,0,20,1
236,BG,spelsh,2878,False,A2TGMA32HYLHRE,0,21,1
237,BG,glagd,4839,True,A2TGMA32HYLHRE,0,22,1
239,GB,dwoond,3577,False,A2TGMA32HYLHRE,1,24,1
240,BG,sloond,3237,False,A2TGMA32HYLHRE,1,25,1
241,GG,smim,2628,True,A2TGMA32HYLHRE,1,26,1
242,BG,skuck,2964,False,A2TGMA32HYLHRE,1,27,1
243,GB,gralfth,2636,True,A2TGMA32HYLHRE,1,28,1
244,BB,throth,3088,False,A2TGMA32HYLHRE,0,29,1
