good onset,,bad onset,,good coda,,bad coda,,vowel,GG,GB,BG,BB
pr,0.9533964163,zm,0.66581302,z,0.3194317599,db,0.6895908485,a,praz,pradb,zmaz,zmadb
skr,0.1134217875,shp,0.2799835317,ff,0.6832191986,fsh,0.8650762704,e,skreff,skrefsh,shpeff,shpefsh
gr,0.3368837209,sht,0.0047005061,t,0.0014061606,pk,0.633342037,o,grot,gropk,shtot,shtopk
thr,0.5796204358,lr,0.6806695969,t,0.0139201633,shk,0.9561841888,i,thrit,thrishk,lrit,lrishk
sk,0.5876692384,shn,0.9568951968,n,0.5375802806,thp,0.1117796586,u,skun,skuthp,shnun,shnuthp
kl,0.6807227884,thn,0.9079106706,p,0.2546482068,thk,0.8724129326,oo,kloop,kloothk,thnoop,thnoothk
sn,0.6441645487,thm,0.4735753979,ss,0.3817155436,thf,0.4931437369,a,snass,snathf,thmass,thmathf
kr,0.2667891053,thl,0.924494111,zz,0.9725304614,shp,0.3194720605,i,krizz,krishp,thlizz,thlishp
sl,0.3669239762,vl,0.8912712666,b,0.5961850677,mth,0.0824369714,e,sleb,slemth,vleb,vlemth
sm,0.5181784001,hr,0.0243748371,l,0.6678865873,tp,0.1698784065,u,smul,smutp,hrul,hrutp
sw,0.1463785372,shl,0.1840754342,d,0.7558244858,kp,0.1421386502,o,swod,swokp,shlod,shlokp
gl,0.9242946063,dl,0.6194556006,b,0.1902845195,sf,0.1119199917,oo,gloob,gloosf,dloob,dloosf
br,0.0393009079,vl,0.5303588598,ck,0.7413608683,fsh,0.0521197794,a,brack,brafsh,vlack,vlafsh
pl,0.9771327921,zm,0.6708447901,n,0.8883917895,mth,0.2008133242,e,plen,plemth,zmen,zmemth
str,0.0695412443,shp,0.7796935267,ff,0.3091090382,shk,0.1956075756,i,striff,strishk,shpiff,shpishk
bl,0.5765244369,thl,0.6462161541,m,0.9549069908,db,0.1218010359,o,blom,blodb,thlom,thlodb
fl,0.1100120703,thm,0.9728659866,g,0.9586450346,pk,0.9471037122,e,fleg,flepk,thmeg,thmepk
sp,0.9720990648,dl,0.0689905304,d,0.5238457485,shp,0.2754993108,oo,spood,spooshp,dlood,dlooshp
dr,0.3169189417,thn,0.4566553016,ss,0.0056578899,thf,0.0921552614,a,drass,drathf,thnass,thnathf
shr,0.8534795898,shn,0.4314724696,ll,0.7577997232,thk,0.339953511,e,shrell,shrethk,shnell,shnethk
tr,0.5986624076,lr,0.7190892706,g,0.7333760872,sf,0.8519025566,u,trug,trusf,lrug,lrusf
spl,0.9262755378,shl,0.9129713047,ck,0.3087257352,kp,0.7534334622,o,splock,splokp,shlock,shlokp
st,0.9562056353,sht,0.9481205009,p,0.0612659189,thp,0.6962992949,i,stip,stithp,shtip,shtithp
fr,0.7022555247,hr,0.8086090432,m,0.2921961974,tp,0.9414925808,oo,froom,frootp,hroom,hrootp
